time="2023-01-26T08:47:05+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7891"
time="2023-01-26T08:47:05+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬Netflix"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🔰国外流量"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬哔哩哔哩"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬Youtube"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider ⚓️其他流量"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🍎苹果服务"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🚀直接连接"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬国外媒体"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider ✈️Telegram"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:36918 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:36896 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:36922 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:36910 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:36938 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:36952 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:36958 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:36968 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:36978 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:37000 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:37040 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:37030 --> 20.205.243.166:443 using GLOBAL"
