time="2023-01-25T17:44:30+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7891"
time="2023-01-25T17:44:30+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🔰国外流量"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬国外媒体"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬Youtube"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬Netflix"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🚀直接连接"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬哔哩哔哩"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider ✈️Telegram"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider ⚓️其他流量"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🍎苹果服务"
time="2023-01-25T17:45:35+08:00" level=info msg="[TCP] 127.0.0.1:57990 --> incoming.telemetry.mozilla.org:443 using GLOBAL"
time="2023-01-25T17:45:36+08:00" level=info msg="[TCP] 127.0.0.1:58012 --> www.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:36+08:00" level=info msg="[TCP] 127.0.0.1:58020 --> apis.google.com:443 using GLOBAL"
time="2023-01-25T17:45:36+08:00" level=info msg="[TCP] 127.0.0.1:58036 --> adservice.google.com:443 using GLOBAL"
time="2023-01-25T17:45:36+08:00" level=info msg="[TCP] 127.0.0.1:58044 --> adservice.google.com.hk:443 using GLOBAL"
time="2023-01-25T17:45:37+08:00" level=info msg="[TCP] 127.0.0.1:58060 --> encrypted-tbn0.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:37+08:00" level=info msg="[TCP] 127.0.0.1:58072 --> encrypted-tbn0.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:37+08:00" level=info msg="[TCP] 127.0.0.1:58086 --> encrypted-tbn0.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:37+08:00" level=info msg="[TCP] 127.0.0.1:58096 --> encrypted-tbn0.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:37+08:00" level=info msg="[TCP] 127.0.0.1:58106 --> encrypted-tbn0.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:45:37+08:00" level=info msg="[TCP] 127.0.0.1:58118 --> googleads.g.doubleclick.net:443 using GLOBAL"
time="2023-01-25T17:45:42+08:00" level=info msg="[TCP] 127.0.0.1:58128 --> id.google.com:443 using GLOBAL"
time="2023-01-25T17:45:43+08:00" level=info msg="[TCP] 127.0.0.1:58140 --> safebrowsing.googleapis.com:443 using GLOBAL"
time="2023-01-25T17:45:43+08:00" level=info msg="[TCP] 127.0.0.1:58156 --> play.google.com:443 using GLOBAL"
time="2023-01-25T17:45:43+08:00" level=info msg="[TCP] 127.0.0.1:58134 --> play.google.com:443 using GLOBAL"
time="2023-01-25T17:45:43+08:00" level=info msg="[TCP] 127.0.0.1:58166 --> push.services.mozilla.com:443 using GLOBAL"
time="2023-01-25T17:45:43+08:00" level=info msg="[TCP] 127.0.0.1:58176 --> ocsp.pki.goog:80 using GLOBAL"
time="2023-01-25T17:45:43+08:00" level=info msg="[TCP] 127.0.0.1:58190 --> astronvim.github.io:443 using GLOBAL"
time="2023-01-25T17:45:44+08:00" level=info msg="[TCP] 127.0.0.1:37000 --> matomo.mehalter.com:443 using GLOBAL"
time="2023-01-25T17:45:44+08:00" level=info msg="[TCP] 127.0.0.1:37008 --> matomo.mehalter.com:443 using GLOBAL"
time="2023-01-25T17:45:45+08:00" level=info msg="[TCP] 127.0.0.1:37024 --> e1.o.lencr.org:80 using GLOBAL"
time="2023-01-25T17:45:45+08:00" level=info msg="[TCP] 127.0.0.1:37034 --> e1.o.lencr.org:80 using GLOBAL"
time="2023-01-25T17:45:45+08:00" level=info msg="[TCP] 127.0.0.1:37042 --> alive.github.com:443 using GLOBAL"
time="2023-01-25T17:45:57+08:00" level=info msg="[TCP] 127.0.0.1:35018 --> collector.github.com:443 using GLOBAL"
time="2023-01-25T17:46:10+08:00" level=info msg="[TCP] 127.0.0.1:44660 --> fonts.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:46:10+08:00" level=info msg="[TCP] 127.0.0.1:44664 --> fonts.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:46:10+08:00" level=info msg="[TCP] 127.0.0.1:44670 --> fonts.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:46:10+08:00" level=info msg="[TCP] 127.0.0.1:44682 --> fonts.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:46:10+08:00" level=info msg="[TCP] 127.0.0.1:44696 --> ssl.gstatic.com:443 using GLOBAL"
